year,name,category,description,url,num_projects,projects_url,contact_email,mailing_list,irc_channel,twitter_url,blog_url,topics,technologies
2022,52°North Spatial Information Research GmbH,Science and medicine,Innovative ideas & technologies in geoinformatics,https://52north.org/,5,https://summerofcode.withgoogle.com/archive/2022/organizations/52north-spatial-information-research-gmbh/,gsoc@52north.org,gsoc-52n@52north.org,https://52n-gsoc.slack.com/ssb/redirect,,,"citizen science, spatial information infrastructures, open standards, data analytics, Geoinformation","javascript, android, java, web services, ogc standards"
2022,AboutCode,Security,"Scan code for origin, license and vulnerabilities",https://aboutcode.org,5,https://summerofcode.withgoogle.com/archive/2022/organizations/aboutcode/,,,https://gitter.im/aboutcode-org/discuss,,https://www.aboutcode.org/category/news.html,"dependencies, vulnerabilities, SoftwareCompositionAnalysis, License, SBOM","python, javascript, Django+PostgreSQL, C/Rust/Go"
2022,Academy Software Foundation,Media,Creating amazing OSS for Media & Entertainment.,https://www.aswf.io/,0,https://summerofcode.withgoogle.com/archive/2022/organizations/academy-software-foundation/,,,http://slack.aswf.io/#gsoc-2022,,,"graphics, media, animation, Visual Effects, Film","c, python, opengl, c++, rust"
2022,AFLplusplus,Security,State of the art fuzzing for better security,https://aflplus.plus,1,https://summerofcode.withgoogle.com/archive/2022/organizations/aflplusplus/,afl@aflplus.plus,,,,,"fuzzing, ci","llvm, rust, fuzzing, qemu"
2022,AnkiDroid,End user applications,AnkiDroid makes remembering things easy,https://github.com/ankidroid/Anki-Android,3,https://summerofcode.withgoogle.com/archive/2022/organizations/ankidroid/,,https://groups.google.com/forum/#!forum/anki-android,https://discord.gg/qjzcRTx,https://twitter.com/ankidroid,,"education, mobile, android, user generated content, Flashcards","android, java, rust, kotlin, mobile"
2022,AOSSIE,End user applications,Australian Umbrella Org for Open-Source Projects,https://aossie.gitlab.io/,8,https://summerofcode.withgoogle.com/archive/2022/organizations/aossie/,,,https://gitter.im/aossie/home,,,"machine learning, electronic voting, natural language processing, social science","python, javascript, machine learning, scala, Blockchain"
2022,Apache Software Foundation,Other,Open source software to the public free of charge,https://apache.org,33,https://summerofcode.withgoogle.com/archive/2022/organizations/apache-software-foundation/,,http://apache.org/foundation/mailinglists.html,https://wiki.apache.org/general/IRC,,,"big data, cloud, libraries, other","c, java, c++"
2022,Apertus Association,Science and medicine,open source cinema,https://www.apertus.org/,0,https://summerofcode.withgoogle.com/archive/2022/organizations/apertus-association/,https://www.apertus.org/contact,,https://www.apertus.org/irc-chat,,,"computer vision, linux, camera, image processing, digital hardware design","python, c/c++, fpga, rust, nix"
2022,ArduPilot,Science and medicine,World's most advanced autonomous vehicle software,https://ardupilot.org/,4,https://summerofcode.withgoogle.com/archive/2022/organizations/ardupilot/,,https://discuss.ardupilot.org/c/google-summer-of-code/131,https://discord.com/channels/674039678562861068/805671364873682954,,,"robotics, Drone, autonomous vehicle, UGV, unmanned vehicle","python, lua, c++, pixhawk"
2022,Audacity,End user applications,"Free, open source, cross-platform audio software",https://www.audacityteam.org/,1,https://summerofcode.withgoogle.com/archive/2022/organizations/audacity/,,,https://discord.gg/D8KruQSfeu,,https://discord.gg/D8KruQSfeu,"audio, editing, compression, Sound, Effects","c++, qt, cmake, wxwidgets, VST"
2022,BeagleBoard.org,Science and medicine,Open hardware computing for educators and makers,https://beagleboard.org,4,https://summerofcode.withgoogle.com/archive/2022/organizations/beagleboardorg/,gsoc@beagleboard.org,https://bbb.io/gsocml,https://bbb.io/gsocchat,https://twitter.com/beagleboardorg,https://beagleboard.org/blog,"robotics, iot, ai, software defined radio, Personal Server","linux, fpga, risc-v, dsp, Zephyr RTOS"
2022,Blender Foundation,End user applications,The Freedom to Create,https://www.blender.org,3,https://summerofcode.withgoogle.com/archive/2022/organizations/blender-foundation/,,https://devtalk.blender.org/c/blender/summer-of-code/15,,,,"games, graphics, 3d, rendering, animation","c, python, opengl, c++, vulkan"
2022,BRL-CAD,End user applications,3D CAD & other computer-aided tech (CAx),https://opencax.github.io/,7,https://summerofcode.withgoogle.com/archive/2022/organizations/brl-cad/,gsoc@kicad.org,https://sourceforge.net/p/ifcopenshell/discussion/,https://web.libera.chat/?channel=#openscad,,,"geometry, 2d/3d graphics, ray tracing, high-performance computing, conversion standards","python, c/c++, opengl, opencl, scripting"
2022,Casbin,Web,Authorization library that supports RBAC and ABAC,https://casbin.org,10,https://summerofcode.withgoogle.com/archive/2022/organizations/casbin/,admin@casbin.org,casbin@googlegroups.com,https://gitter.im/casbin/Lobby,,https://casbin.org/blog/,"security, cloud, authorization, IAM, Authentication","javascript, java, go, OIDC, OAuth"
2022,cBioPortal for Cancer Genomics,Science and medicine,Aid discovery in complex cancer genomics data,https://www.cbioportal.org/,2,https://summerofcode.withgoogle.com/archive/2022/organizations/cbioportal-for-cancer-genomics/,,,https://slack.cbioportal.org,https://twitter.com/cbioportal,,"genomics, cancer, bioinformatics, big data, precision medicine","mysql, javascript, java, react, typescript"
2022,CCExtractor Development,End user applications,"TV, rust, flutter, linux and C.",https://www.ccextractor.org,10,https://summerofcode.withgoogle.com/archive/2022/organizations/ccextractor-development/,gsoc@ccextractor.org,https://groups.google.com/g/ccextractor-dev,https://ccextractor.org/public/general/support/,,,"video, subtitles, mobile, peer to peer","c, linux, rust, flutter"
2022,Center for Research in Open Source Software (CROSS),Science and medicine,Amplifying Research Imapct through Open Source,https://cross.ucsc.edu/,9,https://summerofcode.withgoogle.com/archive/2022/organizations/center-for-research-in-open-source-software-cross/,cross-info@ucsc.edu,,https://gitter.im/uccross/gsoc,,,"hardware, data science, networking, data management, systems","python, c/c++, verilog, apache arrow, matlab/simulink"
2022,Center for Translational Data Science,Science and medicine,Develop translational data science.,https://ctds.uchicago.edu,2,https://summerofcode.withgoogle.com/archive/2022/organizations/center-for-translational-data-science/,ctds-jobs@lists.uchicago.edu,,,,,"bioinformatics, data science, cloud, Data Meshes","python, aws"
2022,Ceph,Data,The Future of Storage,https://ceph.io/en/,1,https://summerofcode.withgoogle.com/archive/2022/organizations/ceph/,,https://ceph.io/en/community/connect/,,,,"distributed systems, Software-Defined-Storage","python, javascript, c++"
2022,CERN-HSF,Science and medicine,Umbrella for Particle Physics-related projects,http://hepsoftwarefoundation.org/activities/gsoc.html,21,https://summerofcode.withgoogle.com/archive/2022/organizations/cern-hsf/,hsf-gsoc-admin@googlegroups.com,,,,,"machine learning, big data, algorithmics, particle physics, Performance Optimisation","python, c/c++, data analysis, artificial intelligence, container orchestration"
2022,CGAL Project,Science and medicine,C++ library of computational geometry,https://www.cgal.org,6,https://summerofcode.withgoogle.com/archive/2022/organizations/cgal-project/,gsoc-cgal@inria.fr,,,,,"geometry, mesh processing, computation geometry, geometry processing","c++, qt"
2022,CHAOSS,Data,Community Health Analytics Open Source Software,https://chaoss.community,5,https://summerofcode.withgoogle.com/archive/2022/organizations/chaoss/,,chaoss@lists.linuxfoundation.org,https://chaoss-workspace.slack.com/archives/C031U5YC5F0,https://twitter.com/chaossproj,https://chaoss.community/blog,"Diversity Equity and Inclusion, open source software metrics, software sustainability, community building, security and software bill of materials","python, postgresql, javascript, machine learning, airflow"
2022,checkstyle,Programming languages,Helps to adheres of Java coding standard,https://checkstyle.org,1,https://summerofcode.withgoogle.com/archive/2022/organizations/checkstyle/,,https://groups.google.com/g/checkstyle-devel,https://gitter.im/checkstyle/checkstyle,,,"static code analysis‎, code review tool, coding standards, coding conventions","java, antlr"
2022,CHIPS Alliance,Programming languages,"Open source IP, tools & standards for ASIC/FPGA",https://chipsalliance.org/,3,https://summerofcode.withgoogle.com/archive/2022/organizations/chips-alliance/,,https://github.com/f4pga/ideas/issues,https://chipsalliance.slack.com/,https://twitter.com/f4pga,,"soc, IP cores, ASIC design, HDL, chiplets","fpga, chisel, risc-v, systemverilog, ASIC"
2022,Chromium,Operating systems,"Fast, seamless, safe, and reliable web for all",https://chromium.org,14,https://summerofcode.withgoogle.com/archive/2022/organizations/chromium-lj/,,https://www.chromium.org/developers/technical-discussion-groups/,,https://twitter.com/ChromiumDev,https://blog.chromium.org/,"web, browser, operating-system","python, javascript, java, c++, git"
2022,CircuitVerse.org,Science and medicine,Build and learn logic circuits in the cloud!,http://circuitverse.org/,4,https://summerofcode.withgoogle.com/archive/2022/organizations/circuitverseorg/,,https://github.com/CircuitVerse/CircuitVerse/discussions,,https://twitter.com/circuitverse?lang=en,https://blog.circuitverse.org/,"education, web, simulation, pedagogy, digital logic design","javascript, rails, canvas"
2022,CNCF,Data,Building sustainable ecosystems for cloud native,https://cncf.io,16,https://summerofcode.withgoogle.com/archive/2022/organizations/cncf/,soc@cncf.io,https://github.com/cncf/mentoring/discussions,,https://twitter.com/cloudnativefdn,,"cloud, cloud native, observability","prometheus, kubernetes, OpenTelemetry, envoy"
2022,coreboot,Operating systems,"Fast, secure and flexible BIOS firmware",https://coreboot.org,1,https://summerofcode.withgoogle.com/archive/2022/organizations/coreboot/,coreboot@coreboot.org,https://doc.coreboot.org/community/forums.html,https://doc.coreboot.org/community/forums.html,https://twitter.com/coreboot_org,https://blogs.coreboot.org/,"hardware, drivers, firmware, boot loader, BIOS","c, assembly, arm, x86"
2022,CRIU,Operating systems,Chekpoint/Restore for Linux tasks and containers,https://criu.org,2,https://summerofcode.withgoogle.com/archive/2022/organizations/criu/,,criu@openvz.org,https://gitter.im/save-restore/CRIU,,,"cloud, containers, Checkpoint/Restore","c, python, linux, go"
